Supplier ID,Shape,Weight,Color,Clarity,Total Price,Lot Number,Stock Number,Lab,Cert #,Certificate Image,2nd Image,Dimension,Depth %,Table %,Crown Angle,Crown %,Pavilion Angle,Pavilion %,Girdle Thinnest,Girdle Thickest,Girdle %,Culet Size,Culet Condition,Polish,Symmetry,Fluor Color,Fluor Intensity,Enhancements,Remarks,Availability,Is Active,FC-Main Body,FC- Intensity,FC- Overtone,Matched Pair,Separable,Matching Stock #,Pavilion,Syndication,Cut Grade,External Url,Lab Grown/Natural
89782,Round,1.01,K,SI2,1863.33,,1266A,,,,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=29125875424&PhysicalType=MAIN,6.43|6.4|3.97,62.00,56.00,,,,,,,,,,,,,,,"mounted 14KWG 3 prong push back",Guaranteed Available,Y,,,,True,True,1266B,,,,,NATURAL
89782,Round,1.01,K,SI2,1863.33,,1266B,,,,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=29125875425&PhysicalType=MAIN,6.44|6.39|3.99,62.40,56.00,,,,,,,,,,,,,,,"mounted 14KWG 3 prong push back",Guaranteed Available,Y,,,,True,True,1266A,,,,,NATURAL
89782,Round,0.31,G,SI3,539.40,,1278A,,,,,4.3|4.32|2.67,60.00,58.00,,,,,,,,,,,,,None,,"Mounted; 14k WG; 4 Prong Basket Setting",Guaranteed Available,Y,,,,True,True,1278B,,,,,NATURAL
89782,Round,0.30,G,SI2,522.02,,1278B,,,,,4.29|4.31|2.6,61.00,58.00,,,,,Thin,Slightly Thick,,None,,,,,None,,"Mounted; 14k WG; 4 Prong Basket Setting",Guaranteed Available,Y,,,,True,True,1278A,,,,,NATURAL
89782,Pear,0.41,F,I1,369.00,,2124301,,,,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=29125875427&PhysicalType=MAIN,5.81|4.08|2.63,64.40,61.20,,,,,Medium,Medium,,Very Small,,Very Good,Very Good,,None,,"It's a good I1 stone!!",Guaranteed Available,Y,,,,False,True,,,,,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=1079446M,NATURAL
89782,Marquise,0.96,H,I2,705.60,,5152207,,,,,9.58|4.7|3.53,75.10,53.00,,,,,,,,,,,,,Medium,,"",Guaranteed Available,Y,,,,False,True,,,,,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=5152207,NATURAL
89782,Marquise,1.12,I,I2,666.40,,5152208,,,,,10.05|5.18|3.32,64.00,65.00,,,,,,,,,,,,,Faint,,"",Guaranteed Available,Y,,,,False,True,,,,,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=5152208,NATURAL
89782,Asscher,1.50,G,SI2,4200.00,,7966122,GIA,5146928584,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=27365787676&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32312264730&PhysicalType=MAIN,6.29|6.28|4.26,67.80,61.00,,,,,Thick,Very Thick,,None,,Excellent,Very Good,,None,,"Video Makes Stone Look Worse; Inclusion gets hidden when looking straight from the top.",On Memo,Y,,,,False,True,,,,,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=7966122,NATURAL
89782,Oval,3.00,I,SI1,29580.00,,A0110006,GIA,2504141577,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32670568888&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32745572767&PhysicalType=MAIN,11.47|8.15|5.1,62.60,60.00,,,,,Thick,Very Thick,,None,,Excellent,Excellent,,None,,"SI1+++; Like VS2; Tbl Cln; No Blk; Beautiful Stone!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=628534,NATURAL
89782,Round,1.72,K,SI2,4454.80,,A0130406,GIA,5506154629,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32670536057&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32744555174&PhysicalType=MAIN,7.67|7.72|4.69,60.90,59.00,33.50,13.50,40.80,43.00,Slightly Thick,,,None,,Excellent,Excellent,,None,,"SI2++; 100% I CLN; Tbl Mostly Cln; Very Little Blk; K++; Beautiful Stone!",Guaranteed Available,Y,,,,False,True,,,,Excellent,https://www.filesonsky.com/v360/Vision360.HTML?d=629755,NATURAL
